number,title,implementation_count
280,Message Carbons,44
30,Service Discovery,44
115,Entity Capabilities,42
45,Multi-User Chat,42
199,XMPP Ping,40
313,Message Archive Management,40
4,Data Forms,40
198,Stream Management,39
363,HTTP File Upload,39
184,Message Delivery Receipts,37
54,vcard-temp,36
85,Chat State Notifications,36
48,Bookmarks,33
60,Publish-Subscribe,33
92,Software Version,33
153,vCard-Based Avatars,31
163,Personal Eventing Protocol,31
249,Direct MUC Invitations,31
191,Blocking Command,30
384,OMEMO Encryption,30
77,In-Band Registration,30
203,Delayed Delivery,29
308,Last Message Correction,29
84,User Avatar,29
333,Displayed Markers,28
368,SRV records for XMPP over TLS,27
59,Result Set Management,27
352,Client State Indication,26
359,Unique and Stable Stanza IDs,26
172,User Nickname,25
50,Ad-Hoc Commands,23
215,External Service Discovery,22
245,The /me Command,22
49,Private XML Storage,22
66,Out of Band Data,22
357,Push Notifications,21
237,Roster Versioning,20
223,Persistent Storage of Private Data via PubSub,19
424,Message Retraction,19
82,XMPP Date and Time Profiles,19
334,Message Processing Hints,18
392,Consistent Color Generation,18
402,PEP Native Bookmarks,18
176,Jingle ICE-UDP Transport Method,17
398,User Avatar to vCard-Based Avatars Conversion,17
12,Last Activity,16
319,Last User Interaction in Presence,16
410,MUC Self-Ping (Schrödinger's Chat),16
425,Moderated Message Retraction,16
454,OMEMO Media sharing,16
166,Jingle,15
167,Jingle RTP Sessions,15
231,Bits of Binary,15
297,Stanza Forwarding,15
353,Jingle Message Initiation,15
444,Message Reactions,15
118,User Tune,14
202,Entity Time,14
380,Explicit Message Encryption,14
421,Occupant identifiers for semi-anonymous MUCs,14
293,Jingle RTP Feedback Negotiation,13
294,Jingle RTP Header Extensions Negotiation,13
320,Use of DTLS-SRTP in Jingle Sessions,13
65,SOCKS5 Bytestreams,13
157,Contact Addresses for XMPP Services,12
388,Extensible SASL Profile,12
91,Legacy Delayed Delivery,12
108,User Activity,11
175,Best Practices for Use of SASL ANONYMOUS,11
206,XMPP Over BOSH,11
221,Data Forms Media Element,11
27,Current Jabber OpenPGP Usage,11
338,Jingle Grouping Framework,11
339,Source-Specific Media Attributes in Jingle,11
369,Mediated Information eXchange (MIX),11
386,Bind 2,11
393,Message Styling,11
428,Fallback Indication,11
47,In-Band Bytestreams,11
107,User Mood,10
114,Jabber Component Protocol,10
124,Bidirectional-streams Over Synchronous HTTP (BOSH),10
16,Privacy Lists,10
178,Best Practices for Use of SASL EXTERNAL with Certificates,10
405,Mediated Information eXchange (MIX): Participant Server Requirements,10
70,Verifying HTTP Requests via XMPP,10
80,User Location,10
106,JID Escaping,9
128,Service Discovery Extensions,9
138,Stream Compression,9
160,Best Practices for Handling Offline Messages,9
224,Attention,9
234,Jingle File Transfer,9
264,Jingle Content Thumbnails,9
300,Use of Cryptographic Hash Functions in XMPP,9
317,Hats,9
377,Spam Reporting,9
440,SASL Channel-Binding Type Capability,9
55,Jabber Search,9
71,XHTML-IM,9
156,Discovering Alternative XMPP Connection Methods,8
158,CAPTCHA Forms,8
220,Server Dialback,8
260,Jingle SOCKS5 Bytestreams Transport Method,8
33,Extended Stanza Addressing,8
461,Message Replies,8
484,Fast Authentication Streamlining Tokens,8
78,Non-SASL Authentication,8
96,SI File Transfer,8
122,Data Forms Validation,7
133,Service Administration,7
147,XMPP URI Scheme Query Components,7
261,Jingle In-Band Bytestreams Transport Method,7
411,Bookmarks Conversion,7
422,Message Fastening,7
441,Message Archive Management Preferences,7
474,SASL SCRAM Downgrade Protection,7
486,MUC Avatars,7
490,Message Displayed Synchronization,7
83,Nested Roster Groups,7
86,Error Condition Mappings,7
100,Gateway Interaction,6
13,Flexible Offline Message Retrieval,6
170,Recommended Order of Stream Feature Negotiation,6
185,Dialback Key Generation and Validation,6
292,vCard4 Over XMPP,6
372,References,6
385,Stateless Inline Media Sharing (SIMS),6
406,Mediated Information eXchange (MIX): MIX Administration,6
407,Mediated Information eXchange (MIX): Miscellaneous Capabilities,6
446,File metadata element,6
447,Stateless file sharing,6
453,DOAP usage in XMPP,6
95,Stream Initiation,6
205,Best Practices to Discourage Denial of Service Attacks,5
279,Server IP Check,5
328,JID Preparation and Validation Service,5
382,Spoiler messages,5
391,Jingle Encrypted Transports,5
396,Jingle Encrypted Transports - OMEMO,5
420,Stanza Content Encryption,5
68,Field Standardization for Data Forms,5
126,Invisibility,4
131,Stanza Headers and Internet Metadata,4
144,Roster Item Exchange,4
189,Public Key Publishing,4
196,User Gaming,4
22,Message Events,4
222,Persistent Storage of Public Data via PubSub,4
248,PubSub Collection Nodes,4
258,Security Labels in XMPP,4
277,Microblogging over XMPP,4
286,Mobile Considerations on LTE Networks,4
288,Bidirectional Server-to-Server Connections,4
302,XMPP Compliance Suites 2012,4
371,Jingle ICE Transport Method,4
373,OpenPGP for XMPP,4
379,Pre-Authenticated Roster Subscription,4
39,Statistics Gathering,4
401,Ad-hoc Account Invitation Generation,4
448,Encryption for stateless file sharing,4
480,SASL Upgrade Tasks,4
482,Call Invites,4
79,Advanced Message Processing,4
9,Jabber-RPC,4
136,Message Archiving,3
145,Annotations,3
146,Remote Controlling Clients,3
148,Instant Messaging Intelligence Quotient (IM IQ),3
177,Jingle Raw UDP Transport Method,3
182,Application-Specific Error Conditions,3
209,Metacontacts,3
212,XMPP Basic Server 2008,3
225,Component Connections,3
227,Portable Import/Export Format for XMPP-IM Servers,3
23,Message Expiration,3
256,Last Activity in Presence,3
257,Client Certificate Management for SASL EXTERNAL,3
272,Multiparty Jingle (Muji),3
278,Jingle Relay Nodes,3
356,Privileged Entity,3
364,Current Off-the-Record Messaging Usage,3
367,Message Attaching,3
390,Entity Capabilities 2.0,3
423,XMPP Compliance Suites 2020,3
433,Extended Channel Search,3
437,Room Activity Indicators,3
469,Bookmark Pinning,3
478,Stream Limits Advertisement,3
485,PubSub Server Information,3
492,Chat notification settings,3
73,Basic IM Protocol Suite,3
90,Legacy Entity Time,3
142,Workgroup Queues,2
190,Best Practice for Closing Idle Streams,2
194,User Chatting,2
195,User Browsing,2
197,User Viewing,2
20,Feature Negotiation,2
233,XMPP Server Registration for use with Kerberos V5,2
253,PubSub Chaining,2
283,Moved,2
284,Shared XML Editing,2
298,Delivering Conference Information to Jingle Participants (Coin),2
307,Unique Room Names for Multi-User Chat,2
335,JSON Containers,2
343,Signaling WebRTC datachannels in Jingle,2
355,Namespace Delegation,2
375,XMPP Compliance Suites 2016,2
387,XMPP Compliance Suites 2018,2
394,Message Markup,2
403,Mediated Information eXchange (MIX): Presence Support.,2
426,Character counting in message bodies,2
431,Full Text Search in MAM,2
434,Trust Messages (TM),2
445,Pre-Authenticated In-Band Registration,2
449,Stickers,2
450,Automatic Trust Management (ATM),2
455,Service Outage Status,2
483,HTTP Online Meetings,2
11,Jabber Browsing,1
113,Simple Whiteboarding,1
129,WebDAV File Transfers,1
152,Reachability Addresses,1
159,Spim-Blocking Control,1
162,Best Practices for Roster and Subscription Management,1
18,Invisible Presence,1
186,Invisible Command,1
200,Stanza Encryption,1
201,Best Practices for Message Threads,1
211,XMPP Basic Client 2008,1
213,XMPP Intermediate IM Client 2008,1
232,Software Information,1
235,OAuth Over XMPP,1
242,XMPP Client Compliance 2009,1
25,Jabber HTTP Polling,1
251,Jingle Session Transfer,1
