status,xep_tag,xep_display,number,title,url,action,score,project_state,replacement_note
Final,XEP-0004,XEP-0004,4,Data Forms,https://xmpp.org/extensions/xep-0004.html,Defer,6.45,Unsupported,-
Final,XEP-0009,XEP-0009,9,Jabber-RPC,https://xmpp.org/extensions/xep-0009.html,Defer,5.77,Unsupported,-
Final,XEP-0012,XEP-0012,12,Last Activity,https://xmpp.org/extensions/xep-0012.html,Defer,6.45,Unsupported,-
Final,XEP-0030,🚧 XEP-0030,30,Service Discovery,https://xmpp.org/extensions/xep-0030.html,Implement,6.45,Partial,-
Final,XEP-0047,XEP-0047,47,In-Band Bytestreams,https://xmpp.org/extensions/xep-0047.html,Avoid,3.65,Unsupported,-
Final,XEP-0077,XEP-0077,77,In-Band Registration,https://xmpp.org/extensions/xep-0077.html,Defer,6.45,Unsupported,-
Final,XEP-0085,✅ XEP-0085,85,Chat State Notifications,https://xmpp.org/extensions/xep-0085.html,Maintain,8.95,Implemented,-
Final,XEP-0174,XEP-0174,174,Serverless Messaging,https://xmpp.org/extensions/xep-0174.html,Defer,4.35,Unsupported,-
Final,XEP-0199,✅ XEP-0199,199,XMPP Ping,https://xmpp.org/extensions/xep-0199.html,Maintain,6.45,Implemented,-
Final,XEP-0202,XEP-0202,202,Entity Time,https://xmpp.org/extensions/xep-0202.html,Defer,6.45,Unsupported,-
Final,XEP-0203,🚧 XEP-0203,203,Delayed Delivery,https://xmpp.org/extensions/xep-0203.html,Implement,6.45,Partial,-
Stable,XEP-0033,XEP-0033,33,Extended Stanza Addressing,https://xmpp.org/extensions/xep-0033.html,Defer,6.15,Unsupported,-
Stable,XEP-0045,🚧 XEP-0045,45,Multi-User Chat,https://xmpp.org/extensions/xep-0045.html,Implement,7.25,Partial,-
Stable,XEP-0050,XEP-0050,50,Ad-Hoc Commands,https://xmpp.org/extensions/xep-0050.html,Defer,6.15,Unsupported,-
Stable,XEP-0059,🚧 XEP-0059,59,Result Set Management,https://xmpp.org/extensions/xep-0059.html,Implement,6.15,Partial,-
Stable,XEP-0060,XEP-0060,60,Publish-Subscribe,https://xmpp.org/extensions/xep-0060.html,Defer,6.15,Unsupported,-
Stable,XEP-0065,XEP-0065,65,SOCKS5 Bytestreams,https://xmpp.org/extensions/xep-0065.html,Avoid,3.35,Unsupported,-
Stable,XEP-0066,🚧 XEP-0066,66,Out of Band Data,https://xmpp.org/extensions/xep-0066.html,Implement,6.15,Partial,-
Stable,XEP-0070,XEP-0070,70,Verifying HTTP Requests via XMPP,https://xmpp.org/extensions/xep-0070.html,Defer,6.15,Unsupported,-
Stable,XEP-0072,XEP-0072,72,SOAP Over XMPP,https://xmpp.org/extensions/xep-0072.html,Avoid,3.15,Unsupported,-
Stable,XEP-0079,XEP-0079,79,Advanced Message Processing,https://xmpp.org/extensions/xep-0079.html,Defer,6.57,Unsupported,-
Stable,XEP-0080,XEP-0080,80,User Location,https://xmpp.org/extensions/xep-0080.html,Defer,6.15,Unsupported,-
Stable,XEP-0084,XEP-0084,84,User Avatar,https://xmpp.org/extensions/xep-0084.html,Implement,7.15,Planned,-
Stable,XEP-0092,XEP-0092,92,Software Version,https://xmpp.org/extensions/xep-0092.html,Defer,6.15,Unsupported,-
Stable,XEP-0106,XEP-0106,106,JID Escaping,https://xmpp.org/extensions/xep-0106.html,Defer,6.15,Unsupported,-
Stable,XEP-0107,XEP-0107,107,User Mood,https://xmpp.org/extensions/xep-0107.html,Defer,6.15,Unsupported,-
Stable,XEP-0108,XEP-0108,108,User Activity,https://xmpp.org/extensions/xep-0108.html,Defer,6.15,Unsupported,-
Stable,XEP-0115,🚧 XEP-0115,115,Entity Capabilities,https://xmpp.org/extensions/xep-0115.html,Implement,6.15,Partial,-
Stable,XEP-0118,XEP-0118,118,User Tune,https://xmpp.org/extensions/xep-0118.html,Defer,6.15,Unsupported,-
Stable,XEP-0122,XEP-0122,122,Data Forms Validation,https://xmpp.org/extensions/xep-0122.html,Defer,6.15,Unsupported,-
Stable,XEP-0124,XEP-0124,124,Bidirectional-streams Over Synchronous HTTP (BOSH),https://xmpp.org/extensions/xep-0124.html,Defer,6.15,Unsupported,-
Stable,XEP-0131,XEP-0131,131,Stanza Headers and Internet Metadata,https://xmpp.org/extensions/xep-0131.html,Defer,5.47,Unsupported,-
Stable,XEP-0141,XEP-0141,141,Data Forms Layout,https://xmpp.org/extensions/xep-0141.html,Avoid,3.15,Unsupported,-
Stable,XEP-0144,XEP-0144,144,Roster Item Exchange,https://xmpp.org/extensions/xep-0144.html,Defer,6.57,Unsupported,-
Stable,XEP-0152,XEP-0152,152,Reachability Addresses,https://xmpp.org/extensions/xep-0152.html,Avoid,4.15,Unsupported,-
Stable,XEP-0155,XEP-0155,155,Stanza Session Negotiation,https://xmpp.org/extensions/xep-0155.html,Avoid,3.15,Unsupported,-
Stable,XEP-0156,XEP-0156,156,Discovering Alternative XMPP Connection Methods,https://xmpp.org/extensions/xep-0156.html,Defer,6.15,Unsupported,-
Stable,XEP-0158,XEP-0158,158,CAPTCHA Forms,https://xmpp.org/extensions/xep-0158.html,Defer,6.15,Unsupported,-
Stable,XEP-0163,XEP-0163,163,Personal Eventing Protocol,https://xmpp.org/extensions/xep-0163.html,Defer,6.15,Unsupported,-
Stable,XEP-0166,🚧 XEP-0166,166,Jingle,https://xmpp.org/extensions/xep-0166.html,Implement,8.05,Partial,-
Stable,XEP-0167,🚧 XEP-0167,167,Jingle RTP Sessions,https://xmpp.org/extensions/xep-0167.html,Implement,8.05,Partial,-
Stable,XEP-0171,XEP-0171,171,Language Translation,https://xmpp.org/extensions/xep-0171.html,Avoid,3.15,Unsupported,-
Stable,XEP-0172,XEP-0172,172,User Nickname,https://xmpp.org/extensions/xep-0172.html,Implement,7.15,Unsupported,-
Stable,XEP-0176,XEP-0176,176,Jingle ICE-UDP Transport Method,https://xmpp.org/extensions/xep-0176.html,Implement,8.05,Unsupported,-
Stable,XEP-0177,XEP-0177,177,Jingle Raw UDP Transport Method,https://xmpp.org/extensions/xep-0177.html,Implement,7.05,Unsupported,-
