approver,number,last_updated,accepted,short_name,type,id,title,url,status,version
Council,,2008-12-11,0,xtls,Standards Track,0,XMPP Transport Layer Security,https://xmpp.org/extensions/inbox/xtls.html,ProtoXEP,0.0.5
Council,,2009-02-10,0,jingle-ibb,Standards Track,1,Jingle In-Band Bytestreams Transport,https://xmpp.org/extensions/inbox/jingle-ibb.html,ProtoXEP,0.0.1
Council,,2009-02-14,0,calendaring,Standards Track,2,Calendaring Extensions to Publish-Subscribe,https://xmpp.org/extensions/inbox/calendaring.html,ProtoXEP,0.0.3.1
Council,,2009-02-18,0,jingle-s5b,Standards Track,3,Jingle SOCKS5 Bytestreams Transport Method,https://xmpp.org/extensions/inbox/jingle-s5b.html,ProtoXEP,0.0.3
Council,,2009-02-21,0,jingle-xtls,Standards Track,4,XMPP Transport Layer Security,https://xmpp.org/extensions/inbox/jingle-xtls.html,ProtoXEP,0.0.4
Council,,2009-02-24,0,jingle-zrtp,Standards Track,5,Use of ZRTP in Jingle RTP Sessions,https://xmpp.org/extensions/inbox/jingle-zrtp.html,ProtoXEP,0.0.2
Council,,2009-03-04,0,jingle-rtp-mti,Standards Track,6,Mandatory-to-Implement Technologies for Jingle RTP Sessions,https://xmpp.org/extensions/inbox/jingle-rtp-mti.html,ProtoXEP,0.0.2
Council,,2009-03-10,0,sic,Standards Track,7,Server IP Check,https://xmpp.org/extensions/inbox/sic.html,ProtoXEP,0.0.2
Council,,2009-03-10,0,thumbs,Standards Track,8,File Transfer Thumbnails,https://xmpp.org/extensions/inbox/thumbs.html,ProtoXEP,0.0.3
Council,,2009-03-14,0,tictactoe-mug,Standards Track,9,Server-based Tic-tac-toe,https://xmpp.org/extensions/inbox/tictactoe-mug.html,ProtoXEP,0.0.1
Council,,2009-03-14,0,instant-gaming,Standards Track,10,Instant Gaming,https://xmpp.org/extensions/inbox/instant-gaming.html,ProtoXEP,0.0.1
Council,,2009-03-14,0,tictactoe,Standards Track,11,Tic-tac-toe,https://xmpp.org/extensions/inbox/tictactoe.html,ProtoXEP,0.0.1
Council,,2009-03-30,0,outofband,Standards Track,12,Out-of-Band Stream Data,https://xmpp.org/extensions/inbox/outofband.html,ProtoXEP,0.0.2
Council,,2009-04-04,0,jingle-rtp-codecs,Informational,13,Codecs for Jingle RTP Sessions,https://xmpp.org/extensions/inbox/jingle-rtp-codecs.html,ProtoXEP,0.0.4
